ISO,Violentos_Africa,Violentos_Americas,Violentos_Asia,Violentos_Europa,Violentos
LTU,2601.12274121007,9630.81267965007,6979.09127288705,1018.39439340563,5057.3552717882
LUX,1945.87493811648,8589.83009634249,8351.63216887029,785.543865823304,4918.22026728814
LVA,2800.70598910448,9452.99877884645,6985.77296996853,1140.23703978248,5094.92869442549
MAR,1861.68588198237,7857.41820697199,10177.6612504062,2567.23092999232,5615.99906733823
MCO,1302.78099587736,8844.32032048729,8592.11530262519,1053.41444019562,4948.15776479637
MDA,2053.51841192083,10255.1000478337,6968.02762774689,1125.41824846096,5100.5160839906
MDG,6798.62100797071,15017.6495689512,8707.02259924852,8163.6810996695,9671.74356895998
MDV,7006.69261461738,16613.3759485761,5014.80365496275,7357.89882359753,8998.19276043843
MEX,10790.3675229038,1601.2734872295,13499.5297769693,10080.680969024,8992.96293903164
MHL,15015.2949829751,11181.7135143831,6982.4785566173,13322.5530821595,11625.5100340338
MKD,1244.96056828769,9984.48956689846,7686.21633589067,1035.95347325305,4987.90498608247
MLI,3110.358842351,8251.96847845806,11740.572477042,4629.14578161052,6933.01139486539
MLT,354.964165429365,9686.29177305715,8497.81004895605,1573.89719526631,5028.24079567722
MMR,8375.92910994846,16135.0968983835,2573.31618583023,7922.36744512798,8751.67740982254
MNG,7635.07420449162,12595.6321676772,2426.92274618146,6310.55111211287,7242.04505761578
MOZ,6830.80200283364,13574.5000298617,10375.9383512631,8483.14884211116,9816.09730651739
MRT,3342.52458960599,7279.8195224077,11988.4912908037,4501.59472884376,6778.10753291528
MUS,7529.32528634587,16060.775682501,8035.92823152104,8712.95022134667,10084.7448554286
MWI,5631.73568094171,13489.3135855423,9548.21206022339,7214.48577281779,8970.93677488129
MYS,9686.34906008283,17506.4616347389,3458.14972873636,9445.97725831327,10024.2344204678
NAM,6152.68201645718,11972.8858051497,11512.6222820556,7946.30962784266,9396.12493287628
NER,2422.21618320414,9274.23432725496,10826.4216696363,4175.54394575688,6674.60403146307
NGA,2703.04684540616,9981.27088066754,10621.6013768507,4533.84382466349,6959.94073189697
NIC,10151.4297008467,732.552047792608,14759.4803128718,9859.71683866867,8875.79472504496
NIU,18440.455957781,10134.2001872149,10223.0226952623,16592.7524438767,13847.6078210337
NLD,2264.13672879349,8440.19713981998,8273.10366339043,897.994615456786,4968.85803686517
